Boat Type,Class,Club,Country,Place,Distance,Race Number,Time (s),Time,Round,ResultsPage,RoundNr,RoundSummary
V1,Master 70 Women,BIRKBECK Victoria,Brazil,3,500,017,211.4,3:31.40,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,1,Heat
V1,Master 70 Women,DOYLE Sally,Australia,2,500,017,206.54,3:26.54,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,1,Heat
V1,Master 70 Women,LAI Corky,USA,6,500,017,225.87,3:45.87,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,1,Heat
V1,Master 70 Women,NEVES Maria Artony,Brazil,7,500,017,229.54,3:49.54,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,1,Heat
V1,Master 70 Women,ROBB Linda,Hawai'i,1,500,017,202.11,3:22.11,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,1,Heat
V1,Master 70 Women,SCIASCIA Gaylene,New Zealand,4,500,017,212.05,3:32.05,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,1,Heat
V1,Master 70 Women,WOOLDRIDGE Katrina,New Zealand,5,500,017,215.38,3:35.38,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,1,Heat
V1,Master 70 Women,ALCANTARA Carmen,Brazil,5,500,018,230.22,3:50.22,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,1,Heat
V1,Master 70 Women,ARCHDEKIN Lorene,Canada,4,500,018,229.96,3:49.96,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,1,Heat
V1,Master 70 Women,BLYTHE Jan,New Zealand,3,500,018,224.71,3:44.71,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,1,Heat
V1,Master 70 Women,DICKINSON Charlene,USA,6,500,018,237.75,3:57.75,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,1,Heat
V1,Master 70 Women,MCCOLL Barbara,Canada,2,500,018,210.52,3:30.52,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,1,Heat
V1,Master 70 Women,MOHS Ann,Canada,1,500,018,206.65,3:26.65,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/018,1,Heat
V1,Master 70 Women,JEAVONS Sue,Great Britain,2,500,019,213.17,3:33.17,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,1,Heat
V1,Master 70 Women,LEITES Barbara,USA,4,500,019,232.29,3:52.29,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,1,Heat
V1,Master 70 Women,MARTIN Mary,Hawai'i,6,500,019,326.35,5:26.35,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,1,Heat
V1,Master 70 Women,PIACUN Frances,New Zealand,5,500,019,240.11,4:00.11,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,1,Heat
V1,Master 70 Women,TOWN Katherine,Canada,1,500,019,195.4,3:15.40,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,1,Heat
V1,Master 70 Women,WEBSTER Liz,New Zealand,3,500,019,213.78,3:33.78,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/019,1,Heat
V6,Elite Men,Brazil,Brazil,1,500,019A,115.88,1:55.88,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,2,Repecharge
V6,Elite Men,Canada,Canada,2,500,019A,122.07,2:02.07,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,2,Repecharge
V6,Elite Men,Great Britain,Great Britain,4,500,019A,123.94,2:03.94,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,2,Repecharge
V6,Elite Men,HERE TAINA,Chile,DNS,500,019A,,"",Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,2,Repecharge
V6,Elite Men,Panama,Panama,3,500,019A,123.04,2:03.04,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,2,Repecharge
V6,Elite Men,Singapore,Singapore,5,500,019A,127.82,2:07.82,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019A,2,Repecharge
V6,Elite Women,Brazil,Brazil,1,500,019B,141.48,2:21.48,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019B,2,Repecharge
V6,Elite Women,Germany,Germany,2,500,019B,143.99,2:23.99,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019B,2,Repecharge
V6,Elite Women,HERE TAINA,Chile,DNS,500,019B,,"",Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019B,2,Repecharge
V6,Elite Women,Singapore,Singapore,3,500,019B,144.43,2:24.43,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019B,2,Repecharge
V6,Elite Women,USA,USA,4,500,019B,149.65,2:29.65,Repechage,https://www.liveresults.co.nz/competition/438/schedule/race/019B,2,Repecharge
V6,Elite Junior Men,Aotearoa Nz,New Zealand,1,500,020,118.17,1:58.17,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/020,5,Final
V6,Elite Junior Men,Brazil,Brazil,4,500,020,141.43,2:21.43,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/020,5,Final
V6,Elite Junior Men,Hawaii - Lanikai,Hawai'i,2,500,020,124.71,2:04.71,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/020,5,Final
V6,Elite Junior Men,HERE TAINA,Chile,3,500,020,126.5,2:06.50,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/020,5,Final
V6,Elite Junior Women,Aotearoa Nz,New Zealand,1,500,021,135.14,2:15.14,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/021,5,Final
V6,Elite Junior Women,CHILE,Chile,3,500,021,160.52,2:40.52,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/021,5,Final
V6,Elite Junior Women,Hawaii - Hawaiian,Hawai'i,2,500,021,142.04,2:22.04,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/021,5,Final
V1,Master 70 Men,AMUNDSON Jon,Canada,1,500,022,178.54,2:58.54,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,1,Heat
V1,Master 70 Men,FARRANCE Alan,Great Britain,2,500,022,186.15,3:06.15,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,1,Heat
V1,Master 70 Men,HOWE Paora,New Zealand,6,500,022,206.65,3:26.65,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,1,Heat
V1,Master 70 Men,IRWIN Val,New Zealand,4,500,022,192.73,3:12.73,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,1,Heat
V1,Master 70 Men,JAMESON Jerry,Hawai'i,3,500,022,192.17,3:12.17,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,1,Heat
V1,Master 70 Men,KINCANNON Lon,USA,5,500,022,195.97,3:15.97,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,1,Heat
V1,Master 70 Men,"","",DNS,500,023,,"",Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,1,Heat
V1,Master 70 Men,EDGEHILL Jack,Hawai'i,2,500,023,181.23,3:01.23,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,1,Heat
V1,Master 70 Men,MACHACEK Stan,Canada,5,500,023,197.5,3:17.50,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,1,Heat
V1,Master 70 Men,ROBERTS John,Canada,3,500,023,182.57,3:02.57,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,1,Heat
V1,Master 70 Men,SALLAS KALEIWOHI Dennis,Hawai'i,1,500,023,173.58,2:53.58,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,1,Heat
V1,Master 70 Men,VERDE Victor,Brazil,4,500,023,195.79,3:15.79,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,1,Heat
V1,Master 70 Men,CURTIS Terry,Canada,2,500,024,172.55,2:52.55,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/024,1,Heat
V1,Master 70 Men,DE ARAUJO JOSE CARLOS,Brazil,5,500,024,203.23,3:23.23,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/024,1,Heat
V1,Master 70 Men,DEGROOT Dave,USA,1,500,024,171.22,2:51.22,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/024,1,Heat
V1,Master 70 Men,GABEL Rob,New Zealand,4,500,024,184.43,3:04.43,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/024,1,Heat
V1,Master 70 Men,GOODALE David,Hawai'i,3,500,024,179.26,2:59.26,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/024,1,Heat
V6,Elite Men,Aotearoa Nz,New Zealand,1,500,025,112.17,1:52.17,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,5,Final
V6,Elite Men,Brazil,Brazil,2,500,025,113.24,1:53.24,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,5,Final
V6,Elite Men,Canada,Canada,6,500,025,126.53,2:06.53,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,5,Final
V6,Elite Men,France,France,4,500,025,117.39,1:57.39,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,5,Final
V6,Elite Men,Hawaii - Lanikai,Hawai'i,3,500,025,116.78,1:56.78,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,5,Final
V6,Elite Men,New Caledonia,New Caledonia,5,500,025,123.89,2:03.89,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,5,Final
V6,Elite Women,Aotearoa Nz,New Zealand,1,500,026,128.96,2:08.96,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,5,Final
V6,Elite Women,Brazil,Brazil,5,500,026,139.43,2:19.43,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,5,Final
V6,Elite Women,Canada,Canada,3,500,026,136.54,2:16.54,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,5,Final
V6,Elite Women,Germany,Germany,6,500,026,153.26,2:33.26,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,5,Final
V6,Elite Women,Great Britain,Great Britain,4,500,026,137.11,2:17.11,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,5,Final
V6,Elite Women,Hawaii - Outrigger,Hawai'i,2,500,026,132.7,2:12.70,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,5,Final
V6,Elite Men,France,France,2,1500,027,458.45,7:38.45,Semi 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/027,4,Semi-final
V6,Elite Men,Great Britain,Great Britain,3,1500,027,461.29,7:41.29,Semi 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/027,4,Semi-final
V6,Elite Men,Hawaii - Lanikai,Hawai'i,1,1500,027,450.17,7:30.17,Semi 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/027,4,Semi-final
V6,Elite Men,PACIFICOS,Chile,4,1500,027,471.92,7:51.92,Semi 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/027,4,Semi-final
V6,Elite Men,USA,USA,5,1500,027,510.98,8:30.98,Semi 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/027,4,Semi-final
V6,Elite Men,Aotearoa Nz,New Zealand,1,1500,028,463.36,7:43.36,Semi 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/028,4,Semi-final
