Race Number,Class,Boat Type,Distance,Round,ResultsPage,Place,Club,Country,Time,Time (s)
020,Elite Junior Men,V6,500,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/020,2,Hawaii - Lanikai,Hawai'i,2:04.71,124.71
020,Elite Junior Men,V6,500,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/020,3,HERE TAINA,Chile,2:06.50,126.5
020,Elite Junior Men,V6,500,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/020,4,Brazil,Brazil,2:21.43,141.43
021,Elite Junior Women,V6,500,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/021,1,Aotearoa Nz,New Zealand,2:15.14,135.14
021,Elite Junior Women,V6,500,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/021,2,Hawaii - Hawaiian,Hawai'i,2:22.04,142.04
021,Elite Junior Women,V6,500,St. Final,https://www.liveresults.co.nz/competition/438/schedule/race/021,3,CHILE,Chile,2:40.52,160.52
022,Master 70 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,1,AMUNDSON Jon,Canada,2:58.54,178.54
022,Master 70 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,2,FARRANCE Alan,Great Britain,3:06.15,186.15
022,Master 70 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,3,JAMESON Jerry,Hawai'i,3:12.17,192.17
022,Master 70 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,4,IRWIN Val,New Zealand,3:12.73,192.73
022,Master 70 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,5,KINCANNON Lon,USA,3:15.97,195.97
022,Master 70 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/022,6,HOWE Paora,New Zealand,3:26.65,206.65
